s34-000151.wav;R;Þetta er handa þér, sagði hann, og rétti munkinum einn hlutann.;0;143;0;;Gefðu þessari rödd einkunn út frá því hve vel þér líkar við hana.
s34-000328.wav;R;Hvítu, beinaberu hendurnar hertu takið á hrífunni svo það strekktist á litlausri húðinni og kjúkurnar komu í ljós.;0;316;0;;Gefðu þessari rödd einkunn út frá því hve vel þér líkar við hana.
s34-003701.wav;R;Ég hef ekki orðið var við mikla andstöðu á þeim bæ hvað slík áform varðar.;0;3642;0;;Gefðu þessari rödd einkunn út frá því hve vel þér líkar við hana.
s34-006348.wav;R;Þau tóku svo tvö klassísk íslensk sönglög á sinn máta.;0;6261;0;;Gefðu þessari rödd einkunn út frá því hve vel þér líkar við hana.
s34-006476.wav;R;Hún hlær að slíkum samanburði.;0;6385;0;;Gefðu þessari rödd einkunn út frá því hve vel þér líkar við hana.
s34-007269.wav;R;Þá þrengja stjórnvöld í Ísrael að íbúum í Betlehem fæðingarbæ Krists.;0;7170;0;;Gefðu þessari rödd einkunn út frá því hve vel þér líkar við hana.
s34-007661.wav;R;Allt annað eru hártoganir eins og málin standa nú fyrir þinginu.;0;7556;0;;Gefðu þessari rödd einkunn út frá því hve vel þér líkar við hana.
s34-008524.wav;R;Ég veit að við munum hittast öll að nýju.;0;8408;0;;Gefðu þessari rödd einkunn út frá því hve vel þér líkar við hana.
s34-011669.wav;R;Eyvör gat verið algjör stríðnispúki en Ásta trúði ekki að þetta væri prakkarastrik.;0;11506;0;;Gefðu þessari rödd einkunn út frá því hve vel þér líkar við hana.
s34-012362.wav;R;Ég efast ekkert um, að slíkt mundi vekja heimsathygli og þeir mundu skelfast við það.;0;12189;0;;Gefðu þessari rödd einkunn út frá því hve vel þér líkar við hana.
whisper_s38-001417.wav;S;Ég hef ekki orðið var við mikla andstöðu á þeim bæ hvað slík áform varðar.;3;1331;3;;Gefðu þessari rödd einkunn út frá því hve vel þér líkar við hana.
whisper_s38-001559.wav;S;Ég veit að við munum hittast öll að nýju.;3;1469;3;;Gefðu þessari rödd einkunn út frá því hve vel þér líkar við hana.
